Section,Line,Ref #,Claim Supported,Reference
Key Takeaways,408,1,"RRM diagnoses and treats the underlying conditions causing reproductive health problems. Treatment cooperates with and restores natural reproductive function.",IIRRM. What Is RRM? (2024)
Key Takeaways,410,5,"FABMs are clinical diagnostic instruments; daily biomarker data reveals hormonal patterns invisible to a single blood draw.",Duane et al. FABMs for Women's Health and Family Planning. Frontiers in Medicine (2022)
Key Takeaways,410,14,"ACOG recognized the menstrual cycle as a vital sign in 2015.",ACOG Committee Opinion No. 651 (2015)
Key Takeaways,412,3,"RRM research shows live birth rates of 26 to 62% for patients seeking fertility care.",Stanford et al. NaPro outcomes in Irish GP. JABFM (2008)
Key Takeaways,412,24,"RRM research shows live birth rates of 26 to 62%; crude rates of 26 to 41%.",Boyle et al. RRM vs IVF. JRRM (2025)
Key Takeaways,412,25,"Largest cohort (1310 couples) reporting adjusted cumulative rate of 62%.",Sanchez-Mendez et al. NaPro 1310 couples. Front Reprod Health (2025)
Key Takeaways,413,27,"Male factor is solely responsible in ~20% of cases and contributory in another 30-40%.",Schlegel et al. AUA/ASRM male infertility guideline. J Urol (2021)
What Is RRM?,433,6,"RRM clinicians time interventions to the patient's cycle and target them to a specific diagnosis.",Duane & Brown. RRM for Infertility. FACTS (2025)
What Is RRM?,433,26,"RRM clinicians time interventions to the patient's cycle and target them to a specific diagnosis.",Whittaker N. RRM Explained. RRM Academy Commentary (2025)
What Is RRM?,434,2,"RRM clinicians come from varied backgrounds and serve patients of all faiths and none.",OSV News. NaPro Alternative to IVF (July 2025)
What Is RRM?,437,3,"RRM is supported by peer-reviewed research in JABFM, Frontiers in Medicine, and JRRM. Library indexes 3000+ publications.",Stanford et al. NaPro outcomes in Irish GP. JABFM (2008)
What Is RRM?,437,4,"RRM is supported by peer-reviewed research in multiple journals.",Tham et al. NaPro outcomes in Canadian practice. Can Fam Phys (2012)
History: Foundations (1950s-1970s),453,8,"Drs. John and Evelyn Billings established that cervical mucus patterns reflect underlying hormonal activity.",Billings Atlas of the Ovulation Method (1989)
History: Foundations (1950s-1970s),457,9,"Hilgers developed CrMS starting in 1976; daily charting data revealed patterns correlating with reproductive disorders.",Hilgers. Medical and Surgical Practice of NaProTechnology (2004)
History: Charting to Clinical Medicine (1980s-1990s),463,9,"Hilgers founded the Saint Paul VI Institute in 1985; most detailed prospective research on female reproductive hormones.",Hilgers. Medical and Surgical Practice of NaProTechnology (2004)
History: Expanding the Field (2000s-2010s),471,1,"IIRRM created after clinicians from Canada, Ireland, UK, Australia, and US began formal discussions starting Nov 2000.",IIRRM. What Is RRM? (2024)
History: Expanding the Field (2000s-2010s),478,5,"FACTS About Fertility (2010) began educating medical students and physicians about FABMs and RRM.",Duane et al. FABMs for Women's Health. Frontiers in Medicine (2022)
History: Expanding the Field (2000s-2010s),479,6,"FEMM (2012) introduced hormonal health protocols combining fertility charting with medical management.",Duane & Brown. RRM for Infertility. FACTS (2025)
History: Expanding the Field (2000s-2010s),480,10,"NeoFertility (2016) developed by Dr. Phil Boyle expanded treatment options for autoimmune/inflammatory conditions.",Boyle et al. 16-year infertility case report. JMCR (2022)
